Cliente,Endereco,CPF,Bairro,Salario,Raca,Sexo,Profissao,Idade,Celular
Marcelo Lima,"Rua do Rio Comprido, 7449",27752657827.0,Rio Comprido,4012.12,Labrador,Masculino,Professor,65,(21) 92777-4010
Antonio Silva,"Rua Jardim Botanico, 5776",68365630541.0,Jardim Botanico,3548.48,Pug,Masculino,Desenvolvedor,62,(21) 90863-3890
Gustavo Moreira,"Rua do Lavradio, 3282",49156578718.0,Catete,8144.68,Pug,Masculino,Veterinario,38,(21) 96912-5793
Antonio Silva,"Avenida Vieira Souto, 3903",95351692195.0,Ipanema,4401.69,Chihuahua,Masculino,Dentista,53,(21) 98175-2051
Natalia Pinto,"Avenida Vieira Souto, 570",27494686963.0,Ipanema,3351.59,Husky Siberiano,Feminino,Musico,70,(21) 99713-6173
Luana Campos,"Rua do Catete, 2650",95826346215.0,Catete,4382.75,Cocker Spaniel,Feminino,Engenheiro,46,(21) 95854-8190
Carla Rodrigues,"Rua Jardim Botanico, 132",96672160076.0,Jardim Botanico,7070.3,Border Collie,Feminino,Administrador,66,(21) 91706-5149
Mariana Lima,"Rua do Catete, 7847",62317748017.0,Flamengo,7929.97,Pit Bull,Feminino,Biologo,41,(21) 92764-2496
Felipe Oliveira,"Avenida Aquarela do Brasil, 6694",20631264758.0,Sao Conrado,6649.45,Golden Retriever,Masculino,Enfermeiro,45,(21) 99841-1775
Juliana Costa,"Rua Felipe Cardoso, 7535",72452127031.0,Santa Teresa,9436.25,Dachshund,Feminino,Artesao,54,(21) 98515-8737
Ana Beatriz Oliveira,"Rua Joao Lira, 6931",18609164819.0,Sao Conrado,9238.67,Boxer,Feminino,Designer,38,(21) 92257-4943
Leandro Rodrigues,"Rua Humaita, 4560",78026000055.0,Humaita,8989.81,Beagle,Masculino,Producao de Eventos,27,(21) 95430-8251
Michele Araujo,"Praia de Botafogo, 3770",83346269333.0,Botafogo,3069.79,Dachshund,Feminino,Medico,51,(21) 95615-3328
Eduardo Campos,"Avenida Glaucio Gil, 4834",50695945979.0,Recreio dos Bandeirantes,7683.17,Shih Tzu,Masculino,Economista,56,(21) 93727-4935
Ana Beatriz Oliveira,"Rua Voluntarios da Patria, 9301",14863189806.0,Botafogo,1875.59,Pit Bull,Feminino,Advogado,66,(21) 97445-1023
Isabela Martins,"Rua Jardim Botanico, 9525",32874019482.0,Jardim Botanico,6071.6,Basset Hound,Feminino,Veterinario,28,(21) 91234-6593
Antonio Silva,"Rua Senador Dantas, 1367",25682926981.0,Flamengo,4292.98,Maltes,Masculino,Producao de Eventos,50,(21) 94798-6146
Natalia Pinto,"Rua Primeiro de Marco, 9502",89195434614.0,Centro,2516.58,Chihuahua,Feminino,Desenvolvedor,26,(21) 97507-5367
Lucas Ferreira,"Rua Domingos Ferreira, 8774",85411117450.0,Cascadura,4602.97,Shiba Inu,Masculino,Advogado,32,(21) 99361-6811
Carlos Santos,"Rua Uruguai, 132",60638382740.0,Tijuca,6535.34,Beagle,Masculino,Antropologo,39,(21) 90622-6451
Bruno Alves,"Rua do Dende, 802",41379924315.0,Recreio dos Bandeirantes,9227.76,Pit Bull,Masculino,Professor,30,(21) 97872-9510
Leandro Rodrigues,"Rua Senador Dantas, 96",84862018952.0,Flamengo,1500.83,Border Collie,Masculino,Publicitario,37,(21) 96638-3497
Pedro Pinto,"Rua Joaquim Nabuco, 4974",76939769541.0,Recreio dos Bandeirantes,3195.68,Husky Siberiano,Masculino,Chef de Cozinha,50,(21) 93871-4167
Vinicius Santos,"Avenida Ayrton Senna, 2865",41169419178.0,Barra da Tijuca,2085.71,Shiba Inu,Masculino,Producao de Eventos,21,(21) 91429-2015
Fernanda Santos,"Rua Buarque de Macedo, 5691",77721774438.0,Vila Isabel,9117.06,Shih Tzu,Feminino,Professor,49,(21) 90141-6368
Eduardo Campos,"Rua do Lavradio, 4586",95476431584.0,Catete,4591.43,Shih Tzu,Masculino,Dentista,58,(21) 94940-4570
Vinicius Santos,"Rua Buarque de Macedo, 1950",34268128921.0,Vila Isabel,8819.45,Maltes,Masculino,Diretor,46,(21) 96092-5973
Maria Luiza Silva,"Rua General Artigas, 5263",31861429742.0,Leblon,6961.65,Chihuahua,Feminino,Medico,22,(21) 96563-8067
Antonio Silva,"Rua Pacheco Leao, 2188",72517173259.0,Jardim Botanico,1661.28,Labrador,Masculino,Administrador,20,(21) 92484-1928
Luana Campos,"Avenida Glaucio Gil, 4748",91804815328.0,Recreio dos Bandeirantes,2897.65,Golden Retriever,Feminino,Arquiteto,57,(21) 90741-4454
Thiago Souza,"Rua Buarque de Macedo, 8700",77198783834.0,Vila Isabel,6788.97,Schnauzer,Masculino,Ator,62,(21) 90315-3869
Gabriela Rocha,"Avenida Rio Branco, 1175",66956718652.0,Centro,7161.34,Beagle,Feminino,Engenheiro,64,(21) 92419-8276
Leandro Rodrigues,"Rua Paissandu, 3586",43847379531.0,Flamengo,8288.68,Bulldog,Masculino,Chef de Cozinha,62,(21) 94227-6471
Bruna Alves,"Rua dos Arcos, 3156",72339112090.0,Lapa,3028.45,Chihuahua,Feminino,Diretor,25,(21) 93300-8482
Daniel Araujo,"Rua Clarimundo de Melo, 2263",78001709561.0,Tijuca,9099.12,Chihuahua,Masculino,Jornalista,58,(21) 97134-3080
Joao Almeida,"Praia de Botafogo, 4703",51157897291.0,Botafogo,7568.23,Border Collie,Masculino,Diretor,22,(21) 94326-4917
Natalia Pinto,"Rua Bartolomeu Mitre, 7011",33506491970.0,Leblon,2608.12,Poodle,Feminino,Terapeuta Ocupacional,18,(21) 90783-8448
Lucas Ferreira,"Avenida Rio Branco, 8799",59591558819.0,Centro,2050.96,Rottweiler,Masculino,Geografo,37,(21) 99377-4621
Patricia Melo,0,60761623860.0,Flamengo,6387.94,Poodle,Feminino,Publicitario,29,(21) 96606-9277
Joao Almeida,"Rua Ataulfo de Paiva, 8673",88572592517.0,Leblon,7085.91,Maltes,Masculino,Advogado,52,(21) 95421-5463
Antonio Silva,"Rua Clarimundo de Melo, 6601",68318343563.0,Tijuca,4220.17,Boxer,Masculino,Terapeuta Ocupacional,34,(21) 99455-2905
Viviane Mendes,"Rua do Rio Comprido, 362",76979002342.0,Rio Comprido,3456.41,Dachshund,Feminino,Personal Trainer,31,(21) 96234-5235
Roberta Moreira,"Avenida Vieira Souto, 7809",95854116923.0,Ipanema,3240.26,Maltes,Feminino,Arquiteto,59,(21) 98171-8394
Carla Rodrigues,"Rua Barata Ribeiro, 8893",42421108094.0,Copacabana,2337.09,Husky Siberiano,Feminino,Contador,27,(21) 90041-7724
Camila Pereira,"Rua Paissandu, 1857",40231964359.0,Flamengo,5509.21,Schnauzer,Feminino,Analista de Sistemas,69,(21) 95293-8551
Roberta Moreira,"Avenida Rio Branco, 4131",37440568939.0,Centro,8631.87,Chihuahua,Feminino,Lider de Projeto,35,(21) 91586-8279
Eduardo Campos,"Rua Heitor de Silva Costa, 5308",65379970116.0,Vila Isabel,9227.3,Labrador,Masculino,Chef de Cozinha,71,(21) 94812-2029
Gabriela Rocha,"Rua do Catete, 96",60404182295.0,Flamengo,2483.97,Labrador,Feminino,Gerente,56,(21) 90649-5615
Gustavo Moreira,"Rua Jardim Botanico, 1110",92056233531.0,Jardim Botanico,1874.27,Bulldog,Masculino,Musico,40,(21) 97493-8757
Thiago Souza,"Rua Barao de Sao Francisco, 6144",52549097274.0,Humaita,9334.51,Maltes,Masculino,Contador,23,(21) 94210-4928
Gustavo Moreira,"Rua Humaita, 4515",82849884259.0,Humaita,9141.88,Golden Retriever,Masculino,Veterinario,41,(21) 96325-7687
Gabriel Rocha,"Rua Domingos Ferreira, 6976",42600077135.0,Cascadura,5956.48,Maltes,Masculino,Antropologo,45,(21) 94717-6357
Ana Beatriz Oliveira,"Rua da Assembleia, 3327",57304512282.0,Centro,9916.86,Pug,Feminino,Ator,45,(21) 98082-8713
Patricia Melo,"Rua Felipe Cardoso, 3929",25368948762.0,Santa Teresa,3206.66,Boxer,Feminino,Personal Trainer,49,(21) 92141-7553
Isabela Martins,"Rua Joaquim Nabuco, 8762",11938815347.0,Recreio dos Bandeirantes,1786.15,Dachshund,Feminino,Advogado,32,(21) 96029-5598
Juliana Costa,"Rua General Artigas, 1956",24498329940.0,Leblon,4877.21,Beagle,Feminino,Engenheiro,38,(21) 90008-2424
Carlos Santos,"Rua do Lavradio, 1793",66550348765.0,Lapa,7497.06,Shih Tzu,Masculino,Professor,67,(21) 96701-4245
Antonio Silva,"Rua Mem de Sa, 7034",64450104934.0,Lapa,4298.69,Labrador,Masculino,Professor,61,(21) 94805-5073
Rafael Melo,"Rua Marquesa de Santos, 5161",62810477698.0,Jardim Botanico,2153.06,Dachshund,Masculino,Musico,34,(21) 97431-1536
Joao Almeida,"Rua Senador Dantas, 7391",62044177633.0,Flamengo,4492.29,Bulldog,Masculino,Dentista,31,(21) 94857-5079
Patricia Melo,"Rua Conde de Iraja, 1014",83011302999.0,Catete,5673.32,Pit Bull,Feminino,Farmaceutico,33,(21) 90710-1728
Roberta Moreira,"Rua do Ouvidor, 2118",69581936522.0,Centro,1695.23,Border Collie,Feminino,Psicologo,71,(21) 91893-3581
Carla Rodrigues,"Rua Casemiro de Abreu, 9546",96620755665.0,Cascadura,9038.99,Pug,Feminino,Jornalista,23,(21) 93415-3583
Ricardo Martins,"Rua Paula Freitas, 5727",86689014601.0,Copacabana,2934.34,Boxer,Masculino,Arquiteto,64,(21) 94082-4122
Juliana Costa,"Rua do Catete, 1745",32705469210.0,Catete,9169.02,Shih Tzu,Feminino,Dentista,54,(21) 92088-8773
Rodrigo Costa,"Avenida Aquarela do Brasil, 8377",75171289322.0,Sao Conrado,8729.24,Golden Retriever,Masculino,Contador,45,(21) 91562-8942
Daniel Araujo,"Rua Visconde de Souza Franco, 861",71217353328.0,Lapa,7591.17,Border Collie,Masculino,Personal Trainer,33,(21) 92239-7373
Thiago Souza,"Rua do Ouvidor, 7080",55113574658.0,Gloria,7076.65,Cocker Spaniel,Masculino,Medico,49,(21) 90898-3201
Daniel Araujo,"Avenida das Americas, 2507",10352081371.0,Barra da Tijuca,7792.89,Shih Tzu,Masculino,Antropologo,44,(21) 97833-8034
Tatiane Almeida,"Avenida Vieira Souto, 5562",55159309411.0,Ipanema,6282.49,Shiba Inu,Feminino,Arquiteto,24,(21) 92198-4347
Tatiane Almeida,"Rua Mem de Sa, 4202",95887226768.0,Lapa,6043.69,Husky Siberiano,Feminino,Diretor,46,(21) 90599-8996
Patricia Melo,"Rua General Artigas, 8796",60368251984.0,Leblon,8295.17,Maltes,Feminino,Biologo,68,(21) 92777-7401
Roberta Moreira,"Rua Garcia d'Avila, 3004",79262070905.0,Ipanema,1409.02,Boxer,Feminino,Dentista,27,(21) 95288-2148
Camila Pereira,"Rua Clarimundo de Melo, 9667",68793929799.0,Tijuca,9257.4,Maltes,Feminino,Dentista,37,(21) 96657-1397
Daniel Araujo,"Rua dos Arcos, 1915",48502861441.0,Lapa,4666.3,Shiba Inu,Masculino,Publicitario,50,(21) 94048-3131
Joao Almeida,"Praia de Botafogo, 3319",38304097320.0,Botafogo,8049.47,Shih Tzu,Masculino,Gerente,22,(21) 95525-3434
Juliana Costa,"Rua Senador Dantas, 1241",18537812271.0,Flamengo,8514.84,Basset Hound,Feminino,Fisioterapeuta,49,(21) 94050-4084
Ricardo Martins,"Rua Ary Schiavo, 6632",81246604848.0,Barra da Tijuca,9218.74,Poodle,Masculino,Dentista,55,(21) 95620-8256
Carla Rodrigues,"Rua 28 de Setembro, 5870",46311726072.0,Vila Isabel,9705.85,Poodle,Feminino,Musico,70,(21) 98790-3729
Camila Pereira,"Avenida das Americas, 2437",62781676823.0,Barra da Tijuca,8326.8,Pug,Feminino,Personal Trainer,38,(21) 90185-6661
Antonio Silva,"Rua do Catete, 5722",28441785526.0,Catete,9314.49,Chihuahua,Masculino,Personal Trainer,30,(21) 98256-3000
Gabriel Rocha,"Avenida Delfim Moreira, 8159",54427219959.0,Leblon,2498.81,Border Collie,Masculino,Publicitario,45,(21) 91901-3332
Lucas Ferreira,"Rua Primeiro de Marco, 1167",24846083508.0,Centro,3509.75,Husky Siberiano,Masculino,Artesao,64,(21) 92136-5751
Andre Carvalho,"Rua Uruguai, 5301",72270626773.0,Tijuca,7370.47,Chihuahua,Masculino,Biologo,32,(21) 99147-1024
Daniel Araujo,"Rua Conde de Bonfim, 7536",64318746136.0,Tijuca,3277.16,Boxer,Masculino,Administrador,48,(21) 93366-4541
Isabela Martins,"Rua do Catete, 600",79522565622.0,Catete,6016.16,Golden Retriever,Feminino,Padeiro,56,(21) 98455-7445
Larissa Ferreira,"Avenida Delfim Moreira, 3604",61474654312.0,Leblon,5727.83,Pit Bull,Feminino,Professor,36,(21) 97247-2405
Rafael Melo,"Rua Joao Lira, 6505",73210671940.0,Sao Conrado,7117.85,Cocker Spaniel,Masculino,Quimico,69,(21) 90183-7168
Marcelo Lima,"Rua Nelson Mandela, 452",89933112124.0,Botafogo,3142.45,Maltes,Masculino,Historiador,71,(21) 92510-2206
Felipe Oliveira,"Rua Sao Clemente, 6342",25340200984.0,Humaita,8455.19,Beagle,Masculino,Personal Trainer,30,(21) 99272-2486
Vinicius Santos,"Rua Barao de Sao Francisco, 6369",22880171345.0,Humaita,6219.76,Cocker Spaniel,Masculino,Diretor,47,(21) 90626-8797
Patricia Melo,"Rua Siqueira Campos, 1745",19395841634.0,Copacabana,2087.53,Chihuahua,Feminino,Arquiteto,35,(21) 97505-7656
Natalia Pinto,"Rua Barao de Sao Francisco, 730",26611412703.0,Humaita,6281.27,Schnauzer,Feminino,Psicologo,29,(21) 90494-9606
Natalia Pinto,"Rua do Ouvidor, 7847",98873957091.0,Centro,6755.73,Border Collie,Feminino,Producao de Eventos,63,(21) 92670-5446
Camila Pereira,"Rua Barao de Santa Marta, 3002",40267039608.0,Rio Comprido,4444.14,Bulldog,Feminino,Engenheiro,56,(21) 93484-9166
Ana Beatriz Oliveira,"Rua Domingos Ferreira, 7186",47920693910.0,Cascadura,6395.94,Yorkshire Terrier,Feminino,Designer,33,(21) 90911-9525
Gabriel Rocha,"Rua Visconde de Souza Franco, 1526",83229725400.0,Lapa,9777.31,Boxer,Masculino,Artesao,21,(21) 94287-2459
Bruna Alves,"Avenida Vieira Souto, 2318",57104001648.0,Ipanema,5847.06,Schnauzer,Feminino,Contador,70,(21) 92955-1236
Fernanda Santos,"Rua Conde de Bonfim, 5302",71131231742.0,Tijuca,9841.46,Pug,Feminino,Professor,58,(21) 92658-1349
Camila Pereira,"Rua Marquesa de Santos, 2897",10913387650.0,Jardim Botanico,2454.14,Schnauzer,Feminino,Padeiro,21,(21) 94445-4462
Diego Silva,"Rua do Pepino, 9950",85120978226.0,Recreio dos Bandeirantes,7760.22,Chihuahua,Masculino,Geografo,61,(21) 94469-9762
Juliana Costa,"Rua General Glicerio, 6161",26643375328.0,Rio Comprido,6523.16,Cocker Spaniel,Feminino,Publicitario,56,(21) 95657-6664
Natalia Pinto,"Rua Ary Schiavo, 1963",85320725701.0,Barra da Tijuca,2992.85,Border Collie,Feminino,Engenheiro,31,(21) 95613-2531
Viviane Mendes,"Rua do Rio Comprido, 5846",47423051096.0,Rio Comprido,9230.68,Rottweiler,Feminino,Advogado,28,(21) 92211-3660
Pedro Pinto,"Rua Senador Dantas, 3535",12947298098.0,Flamengo,8042.36,Maltes,Masculino,Contador,66,(21) 96073-2571
Joao Almeida,"Rua Joaquim Nabuco, 8133",51617355372.0,Recreio dos Bandeirantes,8592.93,Golden Retriever,Masculino,Medico,70,(21) 94299-6815
Bruna Alves,"Rua Clarimundo de Melo, 9082",47492586495.0,Tijuca,6716.98,Husky Siberiano,Feminino,Designer,70,(21) 99804-7726
Marcelo Lima,"Rua Siqueira Campos, 754",39593794435.0,Copacabana,4424.08,Border Collie,Masculino,Dentista,40,(21) 91126-5887
Vinicius Santos,"Rua Lopes Quintas, 7037",57894929181.0,Jardim Botanico,5052.74,Pit Bull,Masculino,Terapeuta Ocupacional,37,(21) 95989-5499
Carla Rodrigues,"Rua Barao de Sao Francisco, 6497",12598778565.0,Humaita,5703.69,Rottweiler,Feminino,Biologo,67,(21) 97306-3829
Daniele Souza,"Rua Pacheco Leao, 8263",98059744227.0,Jardim Botanico,9966.73,Pug,Feminino,Historiador,49,(21) 98556-1140
Viviane Mendes,"Rua Domingos Ferreira, 5901",83208135318.0,Cascadura,3054.0,Dachshund,Feminino,Contador,57,(21) 98352-8714
Amanda Carvalho,"Avenida Delfim Moreira, 1189",23474463229.0,Leblon,9466.88,Bulldog,Feminino,Diretor,63,(21) 96094-6781
Daniel Araujo,"Rua do Lavradio, 9683",45581437442.0,Catete,9519.22,Bulldog,Masculino,Terapeuta Ocupacional,55,(21) 90583-9324
Patricia Melo,"Rua Clarimundo de Melo, 6304",26964809344.0,Tijuca,5842.5,Boxer,Feminino,Diretor,27,(21) 99511-1257
Amanda Carvalho,"Rua da Gloria, 7732",41989199116.0,Gloria,8938.29,Beagle,Feminino,Psicologo,31,(21) 92757-4500
Amanda Carvalho,"Rua Gal. Osorio, 767",49677025940.0,Cascadura,8375.67,Rottweiler,Feminino,Professor,38,(21) 97607-6094
Ana Beatriz Oliveira,"Rua Barao de Santa Marta, 8591",63061872783.0,Rio Comprido,4998.15,Boxer,Feminino,Engenheiro,54,(21) 97712-6064
Maria Luiza Silva,"Rua Heitor de Silva Costa, 7073",17601109064.0,Vila Isabel,7724.26,Maltes,Feminino,Producao de Eventos,32,(21) 90484-9016
Rodrigo Costa,"Rua Gal. Osorio, 6465",93175511735.0,Cascadura,1963.4,Border Collie,Masculino,Medico,66,(21) 93219-1098
Ricardo Martins,"Avenida Rio Branco, 7944",33388000559.0,Centro,8110.43,Rottweiler,Masculino,Musico,69,(21) 90199-6760
Rodrigo Costa,"Rua Humaita, 6439",95095487424.0,Humaita,6878.37,Husky Siberiano,Masculino,Arquiteto,37,(21) 93012-4464
Leandro Rodrigues,"Rua do Dende, 6076",53362022199.0,Recreio dos Bandeirantes,7082.09,Boxer,Masculino,Musico,60,(21) 92496-8049
Larissa Ferreira,"Rua Almirante Alexandrino, 2717",64384049605.0,Santa Teresa,8769.93,Bulldog,Feminino,Veterinario,19,(21) 99880-8168
Pedro Pinto,"Avenida Delfim Moreira, 1469",94262668252.0,Leblon,3763.85,Poodle,Masculino,Personal Trainer,43,(21) 90736-9273
Diego Silva,"Rua Barata Ribeiro, 2899",74113417964.0,Copacabana,4225.24,Beagle,Masculino,Terapeuta Ocupacional,25,(21) 90331-7690
Carla Rodrigues,"Rua dos Arcos, 9020",41687450558.0,Lapa,3354.11,Boxer,Feminino,Geografo,57,(21) 96420-9500
Juliana Costa,"Rua Estrela, 1372",18269086468.0,Santa Teresa,9026.13,Bulldog,Feminino,Enfermeiro,33,(21) 99062-2866
Ricardo Martins,"Rua Bento Lisboa, 1921",43758581787.0,Humaita,9848.1,Poodle,Masculino,Engenheiro,36,(21) 90770-4728
Ana Beatriz Oliveira,"Avenida Vieira Souto, 5054",38876376119.0,Ipanema,9254.14,Dachshund,Feminino,Gerente,54,(21) 94751-8625
Pedro Pinto,"Rua Barata Ribeiro, 2269",85967479014.0,Copacabana,6928.74,Border Collie,Masculino,Veterinario,37,(21) 93164-6457
Gabriela Rocha,"Rua Uruguai, 1922",43718762906.0,Tijuca,2747.15,Yorkshire Terrier,Feminino,Biologo,46,(21) 95379-1791
Felipe Oliveira,"Rua Mem de Sa, 7792",89475872867.0,Lapa,4936.55,Cocker Spaniel,Masculino,Contador,57,(21) 98479-9742
Carlos Santos,"Rua Barata Ribeiro, 8357",54909012210.0,Copacabana,9329.2,Border Collie,Masculino,Padeiro,20,(21) 91945-3851
Daniele Souza,"Rua Ary Schiavo, 2409",58935770789.0,Barra da Tijuca,8198.3,Maltes,Feminino,Advogado,54,(21) 91398-2530
Gabriela Rocha,"Avenida Glaucio Gil, 4838",18948176840.0,Recreio dos Bandeirantes,4134.65,Pug,Feminino,Publicitario,44,(21) 91976-5457
Rodrigo Costa,"Rua do Rio Comprido, 3442",50447276057.0,Rio Comprido,5753.45,Husky Siberiano,Masculino,Economista,62,(21) 93853-5582
Felipe Oliveira,"Rua do Catete, 8474",96555904577.0,Catete,4805.38,Beagle,Masculino,Antropologo,53,(21) 91870-9910
Isabela Martins,"Rua do Bispo, 4415",92000212374.0,Rio Comprido,6212.93,Shih Tzu,Feminino,Designer,33,(21) 91230-3653
Maria Luiza Silva,"Avenida Delfim Moreira, 9721",40626128550.0,Leblon,1371.94,Yorkshire Terrier,Feminino,Enfermeiro,52,(21) 99297-7570
Mariana Lima,"Praia de Botafogo, 833",53618989718.0,Botafogo,6453.21,Yorkshire Terrier,Feminino,Analista de Sistemas,62,(21) 99645-5662
Viviane Mendes,"Rua General Glicerio, 1042",19878949009.0,Rio Comprido,7499.62,Basset Hound,Feminino,Personal Trainer,25,(21) 97547-6162
Patricia Melo,"Rua Candido Mendes, 3440",40343335872.0,Gloria,9803.51,Yorkshire Terrier,Feminino,Publicitario,72,(21) 94982-7990
Gabriela Rocha,"Rua Paula Freitas, 9490",96204647088.0,Copacabana,3765.53,Labrador,Feminino,Designer,25,(21) 98331-5380
Juliana Costa,"Rua do Ouvidor, 4416",87514267570.0,Centro,5696.91,Schnauzer,Feminino,Terapeuta Ocupacional,26,(21) 93487-3112
Vinicius Santos,"Rua Conde de Bonfim, 4336",31764701211.0,Tijuca,5519.45,Boxer,Masculino,Veterinario,64,(21) 98365-8539
Maria Luiza Silva,"Rua Marques de Abrantes, 190",94424031910.0,Flamengo,8214.51,Boxer,Feminino,Lider de Projeto,35,(21) 97697-6338
Rodrigo Costa,"Rua Uruguai, 9577",29007345848.0,Tijuca,9199.96,Rottweiler,Masculino,Professor,65,(21) 90384-1884
Antonio Silva,"Rua do Lavradio, 3337",86518570189.0,Catete,6961.96,Shih Tzu,Masculino,Psicologo,46,(21) 91070-1962
Fernanda Santos,"Rua 28 de Setembro, 3996",98290296608.0,Vila Isabel,8974.04,Bulldog,Feminino,Farmaceutico,43,(21) 95173-3356
Michele Araujo,"Rua do Lavradio, 1735",17842018439.0,Catete,9307.66,Husky Siberiano,Feminino,Analista de Sistemas,26,(21) 98356-8674
Carlos Santos,"Rua Silveira Martins, 6689",94672607162.0,Catete,3590.85,Shih Tzu,Masculino,Publicitario,47,(21) 95589-2018
Daniele Souza,"Rua Felipe Cardoso, 1378",30947887393.0,Santa Teresa,4197.67,Yorkshire Terrier,Feminino,Professor,55,(21) 92575-4008
Rafael Melo,"Rua do Ouvidor, 9010",61992728806.0,Gloria,7125.89,Bulldog,Masculino,Engenheiro,57,(21) 98735-7407
Marcelo Lima,"Rua Humaita, 4062",23862655598.0,Humaita,1979.4,Cocker Spaniel,Masculino,Arquiteto,45,(21) 94624-8932
Natalia Pinto,"Rua do Dende, 8883",86611505338.0,Recreio dos Bandeirantes,4609.24,Poodle,Feminino,Veterinario,26,(21) 97885-6516
Viviane Mendes,"Avenida Aquarela do Brasil, 6524",81274085046.0,Sao Conrado,9534.51,Chihuahua,Feminino,Psicologo,25,(21) 95676-1545
Daniele Souza,"Rua do Ouvidor, 9491",52663761697.0,Centro,2606.55,Yorkshire Terrier,Feminino,Enfermeiro,50,(21) 93372-6027
Bruna Alves,"Rua General Glicerio, 7795",75282912664.0,Rio Comprido,6016.94,Shih Tzu,Feminino,Advogado,57,(21) 98791-1319
Isabela Martins,"Rua Visconde de Souza Franco, 8285",29966733438.0,Lapa,6464.54,Pit Bull,Feminino,Analista de Sistemas,60,(21) 95469-9724
Mariana Lima,"Avenida Atlantica, 3344",63938651949.0,Copacabana,6686.06,Boxer,Feminino,Gerente,49,(21) 99657-2880
Carla Rodrigues,"Rua Estrela, 8135",57014558086.0,Santa Teresa,9432.11,Border Collie,Feminino,Ator,43,(21) 98754-2243
Amanda Carvalho,"Avenida Rio Branco, 6173",74102206969.0,Centro,4049.93,Husky Siberiano,Feminino,Analista de Sistemas,19,(21) 91822-6745
Carla Rodrigues,"Rua Silveira Martins, 4787",50107016257.0,Catete,1774.92,Maltes,Feminino,Analista de Sistemas,53,(21) 91692-2138
Carla Rodrigues,"Rua Visconde de Piraja, 1245",53282449268.0,Ipanema,9921.85,Cocker Spaniel,Feminino,Psicologo,21,(21) 91911-7276
Lucas Ferreira,"Rua Candido Mendes, 6379",53608403665.0,Gloria,3171.17,Bulldog,Masculino,Advogado,34,(21) 98049-5064
Rafael Melo,"Rua 28 de Setembro, 9623",80128723855.0,Vila Isabel,5956.95,Pug,Masculino,Ator,18,(21) 96103-1762
Andre Carvalho,"Rua do Lavradio, 8454",34390773150.0,Lapa,6204.31,Shih Tzu,Masculino,Dentista,51,(21) 96231-9499
Fernanda Santos,"Avenida Ayrton Senna, 9246",43640426958.0,Barra da Tijuca,8694.81,Chihuahua,Feminino,Veterinario,68,(21) 91132-1378
Marcelo Lima,"Rua Gal. Osorio, 6875",78708901231.0,Cascadura,8768.87,Poodle,Masculino,Biologo,63,(21) 90548-3281
Marcelo Lima,"Rua Clarimundo de Melo, 5009",67105467451.0,Tijuca,4394.59,Basset Hound,Masculino,Dentista,53,(21) 91314-6008
Andre Carvalho,"Rua Marques de Abrantes, 6122",95342457336.0,Flamengo,1764.46,Cocker Spaniel,Masculino,Biologo,55,(21) 93780-1892
Marcelo Lima,"Rua Barao de Santa Marta, 6448",54843426304.0,Rio Comprido,9637.2,Husky Siberiano,Masculino,Desenvolvedor,56,(21) 95211-3576
Patricia Melo,"Rua do Bispo, 398",97947092115.0,Rio Comprido,2460.46,Poodle,Feminino,Ator,61,(21) 97249-3048
Rodrigo Costa,"Rua Almirante Alexandrino, 683",92853098849.0,Santa Teresa,2428.65,Basset Hound,Masculino,Analista de Sistemas,43,(21) 93246-8364
Leandro Rodrigues,"Rua da Gloria, 378",28142366873.0,Gloria,8883.33,Basset Hound,Masculino,Administrador,37,(21) 92352-4416
Amanda Carvalho,"Rua Visconde de Piraja, 4459",44261964821.0,Ipanema,8501.59,Maltes,Feminino,Veterinario,69,(21) 95494-3432
Viviane Mendes,"Rua do Catete, 7147",69582777642.0,Flamengo,2591.46,Boxer,Feminino,Lider de Projeto,45,(21) 91197-5561
Diego Silva,"Rua Gal. Osorio, 397",76471291738.0,Cascadura,5969.31,Golden Retriever,Masculino,Economista,29,(21) 98284-4521
Daniel Araujo,"Rua Casemiro de Abreu, 2782",58007833122.0,Cascadura,7520.88,Golden Retriever,Masculino,Diretor,38,(21) 99419-5255
Fernanda Santos,"Rua Paissandu, 198",21949558537.0,Flamengo,2620.45,Pug,Feminino,Gerente,70,(21) 97438-8302
Felipe Oliveira,"Avenida Atlantica, 6263",16600360839.0,Copacabana,2099.22,Shih Tzu,Masculino,Lider de Projeto,67,(21) 97913-1691
Juliana Costa,"Rua Pacheco Leao, 6232",85221269534.0,Jardim Botanico,8053.33,Husky Siberiano,Feminino,Antropologo,72,(21) 99363-7177
Ana Beatriz Oliveira,"Avenida Aquarela do Brasil, 4846",20520485188.0,Sao Conrado,5091.99,Poodle,Feminino,Gerente,71,(21) 97934-4202
Andre Carvalho,"Rua Candido Mendes, 2376",94307015443.0,Gloria,9631.88,Basset Hound,Masculino,Musico,22,(21) 97007-5782
Fernanda Santos,"Praia de Botafogo, 6225",71022038819.0,Botafogo,1434.64,Golden Retriever,Feminino,Padeiro,27,(21) 90233-2506
Lucas Ferreira,"Rua do Dende, 3144",52265600289.0,Recreio dos Bandeirantes,7099.65,Husky Siberiano,Masculino,Padeiro,36,(21) 97065-5259
Bruno Alves,"Rua do Russel, 2295",21997099172.0,Gloria,5179.76,Chihuahua,Masculino,Publicitario,31,(21) 96463-8958
